"Town","FIPS","Year","Abused Substance","Outcome","Measure Type","Variable","Value"
"Plainville",900360120,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Plymouth",900560750,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Pomfret",901561030,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Portland",900761800,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Preston",901162150,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Prospect",900962290,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Putnam",901562710,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Redding",900163480,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ridgefield",900163970,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Rocky Hill",900365370,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Roxbury",900565930,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salem",901166210,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salisbury",900566420,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Scotland",901567400,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Seymour",900967610,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Sharon",900567960,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Shelton",900168170,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Sherman",900168310,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Simsbury",900368940,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Somers",901369220,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"South Windsor",900371390,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Southbury",900969640,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Southington",900370550,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Sprague",901171670,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stafford",901372090,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Stamford",900173070,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Sterling",901573420,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stonington",901173770,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stratford",900174190,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Suffield",900374540,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Thomaston",900575730,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Thompson",901575870,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Tolland",901376290,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Torrington",900576570,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Trumbull",900177200,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Union",901377830,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Vernon",901378250,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Voluntown",901178600,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Wallingford",900978740,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Warren",900579510,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Washington",900579720,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Waterbury",900980070,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Waterford",901180280,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Watertown",900580490,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"West Hartford",900382590,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"West Haven",900982870,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Westbrook",900781680,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Weston",900183430,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Westport",900183500,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wethersfield",900384900,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Willington",901385950,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wilton",900186370,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Winchester",900586440,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Windham",901586790,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Windsor",900387000,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Windsor Locks",900387070,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wolcott",900987560,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodbridge",900987700,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodbury",900587910,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodstock",901588190,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lower Fairfield County Regional Action Council",9000000000011,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",9
"Mid-Fairfield Substance Abuse Coalition",9000000000012,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Regional Youth/Adult Social Action Project",9000000000014,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",4
"South Central CT Substance Abuse Council",9000000000015,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Greater Valley Substance Abuse Action Council",9000000000016,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Middlesex County Substance Abuse Action Council",9000000000017,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"Northeast Communities Against Substance Abuse",9000000000018,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"Southeastern Regional Action Council",9000000000019,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",14
"East of the River Action for Substance Elimination",9000000000020,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",10
"Capitol Area Substance Abuse Council",9000000000021,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",8
"Substance Abuse Action Council",9000000000022,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",12
"Central Naugatuck Valley Regional Action Council",9000000000024,2004,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",4
"Andover",901301080,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ansonia",900901220,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ashford",901501430,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Avon",900302060,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Barkhamsted",900502760,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Beacon Falls",900903250,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Berlin",900304300,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethany",900904580,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethel",900104720,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethlehem",900504930,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bloomfield",900305910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bolton",901306260,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Bozrah",901106820,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Branford",900907310,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bridgeport",900108070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",4
"Bridgewater",900508210,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bristol",900308490,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Brookfield",900108980,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Brooklyn",901509190,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Burlington",900310100,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Canaan",900510940,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Canterbury",901512130,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Canton",900312270,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Chaplin",901513810,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Cheshire",900914160,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Chester",900714300,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Clinton",900715350,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Colchester",901115910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Colebrook",900516050,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Columbia",901316400,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Connecticut",9,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",86
"Cornwall",900517240,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Coventry",901317800,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Cromwell",900718080,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Danbury",900118500,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Darien",900118850,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Deep River",900719130,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Derby",900919550,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Durham",900720810,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Granby",900322070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Haddam",900722280,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Hampton",900722490,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"East Hartford",900322630,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"East Haven",900922910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Lyme",901123400,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"East Windsor",900324800,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Eastford",901521860,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Easton",900123890,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ellington",901325360,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Enfield",900325990,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Essex",900726270,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Fairfield",900126620,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Farmington",900327600,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Franklin",901129910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Glastonbury",900331240,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Goshen",900532290,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Granby",900332640,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Greenwich",900133620,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Griswold",901133900,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Groton",901134250,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Guilford",900934950,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Haddam",900735230,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Hamden",900935650,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Hampton",901536000,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Hartford",900337070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Hartland",900337140,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Harwinton",900537280,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Hebron",901337910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Kent",900540290,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Killingly",901540500,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Killingworth",900740710,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lebanon",901142390,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ledyard",901142600,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lisbon",901143230,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Litchfield",900543370,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lyme",901144210,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Madison",900944560,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Manchester",900344700,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Mansfield",901344910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Marlborough",900345820,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Meriden",900946520,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Middlebury",900946940,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Middlefield",900747080,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Middletown",900747360,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Milford",900947535,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Monroe",900148620,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Montville",901148900,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Morris",900549460,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Naugatuck",900949950,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"New Britain",900350440,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Canaan",900150580,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"New Fairfield",900150860,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Hartford",900551350,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Haven",900952070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"New London",901152350,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"New Milford",900552630,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Newington",900352140,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Newtown",900152980,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Norfolk",900553470,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"North Branford",900953890,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"North Canaan",900554030,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"North Haven",900954870,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"North Stonington",901155500,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Norwalk",900156060,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Norwich",901156270,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Old Lyme",901157040,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Old Saybrook",900757320,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Orange",900957600,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Oxford",900958300,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Plainfield",901559980,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Plainville",900360120,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Plymouth",900560750,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Pomfret",901561030,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Portland",900761800,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Preston",901162150,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Prospect",900962290,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Putnam",901562710,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Redding",900163480,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ridgefield",900163970,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Rocky Hill",900365370,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Roxbury",900565930,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salem",901166210,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Salisbury",900566420,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Scotland",901567400,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Seymour",900967610,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Sharon",900567960,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Shelton",900168170,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Sherman",900168310,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Simsbury",900368940,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Somers",901369220,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"South Windsor",900371390,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Southbury",900969640,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Southington",900370550,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Sprague",901171670,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stafford",901372090,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stamford",900173070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Sterling",901573420,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stonington",901173770,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Stratford",900174190,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Suffield",900374540,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Thomaston",900575730,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Thompson",901575870,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Tolland",901376290,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Torrington",900576570,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Trumbull",900177200,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Union",901377830,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Vernon",901378250,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Voluntown",901178600,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wallingford",900978740,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",3
"Warren",900579510,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Washington",900579720,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Waterbury",900980070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Waterford",901180280,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Watertown",900580490,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"West Hartford",900382590,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"West Haven",900982870,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Westbrook",900781680,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Weston",900183430,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Westport",900183500,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Wethersfield",900384900,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Willington",901385950,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Wilton",900186370,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Winchester",900586440,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Windham",901586790,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Windsor",900387000,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Windsor Locks",900387070,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Wolcott",900987560,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodbridge",900987700,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodbury",900587910,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Woodstock",901588190,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Lower Fairfield County Regional Action Council",9000000000011,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",10
"Mid-Fairfield Substance Abuse Coalition",9000000000012,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Regional Youth/Adult Social Action Project",9000000000014,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"South Central CT Substance Abuse Council",9000000000015,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",8
"Greater Valley Substance Abuse Action Council",9000000000016,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Middlesex County Substance Abuse Action Council",9000000000017,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",8
"Northeast Communities Against Substance Abuse",9000000000018,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",7
"Southeastern Regional Action Council",9000000000019,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",7
"East of the River Action for Substance Elimination",9000000000020,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Capitol Area Substance Abuse Council",9000000000021,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",8
"Substance Abuse Action Council",9000000000022,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",5
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",6
"Central Naugatuck Valley Regional Action Council",9000000000024,2005,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",9
"Andover",901301080,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Ansonia",900901220,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Ashford",901501430,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Avon",900302060,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Barkhamsted",900502760,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Beacon Falls",900903250,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Berlin",900304300,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethany",900904580,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethel",900104720,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bethlehem",900504930,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bloomfield",900305910,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bolton",901306260,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Bozrah",901106820,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Branford",900907310,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bridgeport",900108070,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",10
"Bridgewater",900508210,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Bristol",900308490,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",2
"Brookfield",900108980,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Brooklyn",901509190,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",1
"Burlington",900310100,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Canaan",900510940,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Canterbury",901512130,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Canton",900312270,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Chaplin",901513810,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
"Cheshire",900914160,2006,"Alcohol","Motor vehicle accident fatalities","Number","Motor Vehicle",0
